comment,rating_type,issues,final_sentiment
Delivered to a address not mine tried to change address they refused to do so,Negative,"Faulty functionality, Poor customer service, Wrong item",NEGATIVE
Batteries of 80 and 83 others are almost at the limit to be replaced.,Neutral,"Damaged product, Missing parts",NEGATIVE
